terça,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
terça,Pico,Entrega,Borda sim,Refri não,R$ 22-26,"44-55 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 14-18,"10-22 min"
terça,Pico,Buscar,Borda sim,Refri não,R$ 22-26,"44-55 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Pico,Entrega,Borda sim,Refri não,R$ 34-38,"33-44 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Fim,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
terça,Fim,Buscar,Borda sim,Refri não,R$ 30-34,"33-44 min"
terça,Fim,Entrega,Borda sim,Refri não,R$ 26-30,"22-33 min"
quarta,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
quarta,Inicio,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
quarta,Inicio,Entrega,Borda sim,Refri não,R$ 38-42,"33-44 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
quarta,Pico,Buscar,Borda não,Refri não,R$ 22-26,"22-33 min"
quarta,Pico,Buscar,Borda não,Refri não,R$ 18-22,"44-55 min"
quarta,Pico,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 38-42,"44-55 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 26-30,"22-33 min"
quarta,Pico,Entrega,Borda não,Refri sim,R$ 38-42,"33-44 min"
quarta,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"33-44 min"
quarta,Fim,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
quinta,Inicio,Entrega,Borda não,Refri não,R$ 22-26,"22-33 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"33-44 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 18-22,"44-55 min"
quinta,Pico,Entrega,Borda não,Refri sim,R$ 38-42,"44-55 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
quinta,Pico,Entrega,Borda sim,Refri sim,R$ 42-46,"33-44 min"
quinta,Pico,Buscar,Borda não,Refri não,"46-50","33-44 min"
quinta,Fim,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
quinta,Fim,Entrega,Borda sim,Refri não,R$ 38-42,"33-44 min"
quinta,Fim,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Fim,Entrega,Borda sim,Refri não,R$ 30-34,"44-55 min"
sábado,Inicio,Buscar,Borda não,Refri sim,R$ 30-34,"33-44 min"
sábado,Inicio,Buscar,Borda não,Refri sim,R$ 26-30,"44-55 min"
sábado,Inicio,Entrega,Borda não,Refri não,R$ 30-34,"22-33 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 26-30,"22-33 min"
sábado,Inicio,Entrega,Borda sim,Refri não,R$ 30-34,"33-44 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 14-18,"10-22 min"
sábado,Inicio,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 18-22,"44-55 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 26-30,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"33-44 min"
sábado,Pico,Entrega,Borda sim,Refri sim,R$ 42-46,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 42-46,"22-33 min"
sábado,Pico,Buscar,Borda sim,Refri não,R$ 38-42,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 22-26,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Entrega,Borda sim,Refri sim,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda sim,Refri não,R$ 38-42,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 38-42,"44-55 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 26-30,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
sábado,Fim,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
sábado,Fim,Entrega,Borda não,Refri sim,R$ 38-42,"44-55 min"
domingo,Inicio,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
domingo,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
domingo,Inicio,Entrega,Borda não,Refri sim,R$ 38-42,"44-55 min"
domingo,Inicio,Entrega,Borda não,Refri não,R$ 18-22,"44-55 min"
domingo,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
domingo,Inicio,Entrega,Borda não,Refri sim,R$ 30-34,"44-55 min"
domingo,Inicio,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
domingo,Inicio,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
domingo,Inicio,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
domingo,Pico,Buscar,Borda sim,Refri não,R$ 26-30,"33-44 min"
domingo,Pico,Buscar,Borda não,Refri sim,R$ 34-38,"22-33 min"
domingo,Pico,Entrega,Borda não,Refri sim,R$ 38-42,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
domingo,Pico,Entrega,Borda sim,Refri não,R$ 34-38,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
domingo,Pico,Entrega,Borda sim,Refri sim,R$ 42-46,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri sim,R$ 42-46,"22-33 min"
domingo,Pico,Entrega,Borda não,Refri sim,R$ 42-46,"44-55 min"
domingo,Pico,Buscar,Borda sim,Refri não,R$ 30-34,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 18-22,"33-44 min"
domingo,Fim,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
terça,Inicio,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
terça,Inicio,Entrega,Borda sim,Refri não,R$ 22-26,"44-55 min"
terça,Inicio,Buscar,Borda não,Refri sim,R$ 30-34,"22-33 min"
terça,Pico,Entrega,Borda sim,Refri sim,R$ 42-46,"33-44 min"
terça,Pico,Entrega,Borda sim,Refri não,R$ 38-42,"44-55 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Pico,Entrega,Borda sim,Refri sim,R$ 38-42,"44-55 min"
terça,Pico,Entrega,Borda sim,Refri não,R$ 26-30,"44-55 min"
terça,Fim,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
terça,Fim,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
quarta,Inicio,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
quarta,Inicio,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
quarta,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
quarta,Inicio,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
quarta,Inicio,Buscar,Borda não,Refri sim,R$ 34-38,"44-55 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
quarta,Pico,Entrega,Borda sim,Refri sim,R$ 42-46,"22-33 min"
quarta,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 26-30,"22-33 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
quarta,Pico,Buscar,Borda sim,Refri não,R$ 38-42,"33-44 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 30-34,"22-33 min"
quarta,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"22-33 min"
quarta,Pico,buscar,Borda não,Refri não,R$ 18-22,"33-44 min"
quarta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
quarta,Fim,Buscar,Borda não,Refri sim,R$ 22-26,"44-55 min"
quinta,Inicio,Entrega,Borda não,Refri não,R$ 14-18,"22-33 min"
quinta,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
quinta,Inicio,Entrega,Borda não,Refri sim,R$ 30-34,"33-44 min"
quinta,Inicio,Entrega,Borda não,Refri não,R$ 38-42,"44-55 min"
quinta,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
quinta,Inicio,Entrega,Borda sim,Refri não,R$ 38-42,"33-44 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 26-30,"44-55 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
quinta,Pico,Buscar,Borda não,Refri sim,R$ 38-42,"44-55 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"33-44 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 22-26,"22-33 min"
quinta,Pico,Buscar,Borda não,Refri sim,R$ 34-38,"44-55 min"
quinta,Pico,Entrega,Borda sim,Refri não,R$ 30-34,"22-33 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 38-42,"33-44 min"
quinta,Pico,Entrega,Borda sim,Refri não,R$ 30-34,"33-44 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
quinta,Fim,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sexta,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
sexta,Inicio,Entrega,Borda não,Refri sim,R$ 30-34,"33-44 min"
sexta,Inicio,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
sexta,Inicio,Buscar,Borda não,Refri sim,R$ 26-30,"22-33 min"
sexta,Inicio,Buscar,Borda não,Refri sim,R$ 26-30,"22-33 min"
sexta,Inicio,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sexta,Inicio,Buscar,Borda não,Refri não,R$ 34-38,"10-22 min"
sexta,Inicio,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
sexta,Inicio,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
sexta,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
sexta,Pico,Buscar,Borda não,Refri sim,R$ 34-38,"22-33 min"
sexta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"33-44 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sexta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"22-33 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sexta,Pico,Entrega,Borda sim,Refri não,R$ 38-42,"44-55 min"
sexta,Pico,Buscar,Borda sim,Refri não,R$ 26-30,"33-44 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
sexta,Pico,Entrega,Borda sim,Refri sim,R$ 42-46,"44-55 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"22-33 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 18-22,"44-55 min"
sexta,Pico,Entrega,Borda sim,Refri não,R$ 38-42,"33-44 min"
sexta,Fim,Entrega,Borda não,Refri não,R$ 38-42,"44-55 min"
sexta,Fim,Buscar,Borda não,Refri não,R$ 34-38,"10-22 min"
sexta,Fim,Entrega,Borda não,Refri não,R$ 22-26,"10-22 min"
sexta,Fim,Buscar,Borda não,Refri não,R$ 10-14,"10-22 min"
sexta,Fim,Buscar,Borda não,Refri não,R$ 34-38,"10-22 min"
sexta,Fim,Entrega,Borda não,Refri não,R$ 26-30,"10-22 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 22-26,"44-55 min"
sábado,Inicio,Entrega,Borda não,Refri não,R$ 38-42,"22-33 min"
sábado,Inicio,Buscar,Borda não,Refri sim,R$ 30-34,"22-33 min"
sábado,Inicio,Entrega,Borda não,Refri sim,R$ 38-42,"22-33 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 22-26,"44-55 min"
sábado,Inicio,Entrega,Borda não,Refri não,R$ 30-34,"22-33 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 34-38,"33-44 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Buscar,Borda não,Refri sim,R$ 30-34,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"22-33 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 30-34,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 26-30,"10-22 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Pico,Buscar,Borda sim,Refri não,R$ 38-42,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 38-42,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"22-33 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
sábado,Pico,Entrega,Borda sim,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
sábado,Pico,Buscar,Borda sim,Refri não,R$ 34-38,"33-44 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 30-34,"22-33 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Pico,Entrega,Borda sim,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Buscar,Borda sim,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda sim,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 26-30,"44-55 min"
sábado,Fim,Buscar,Borda não,Refri sim,R$ 30-34,"44-55 min"
sábado,Fim,Buscar,Borda não,Refri não,R$ 18-22,"33-44 min"
sábado,Fim,Entrega,Borda sim,Refri não,R$ 30-34,"22-33 min"
sábado,Fim,Entrega,Borda não,Refri não,R$ 30-34,"22-33 min"
sábado,Fim,Buscar,Borda não,Refri não,R$ 30-34,"22-33 min"
sábado,Fim,Buscar,Borda não,Refri não,R$ 26-30,"44-55 min"
sábado,Fim,Entrega,Borda não,Refri sim,R$ 26-30,"22-33 min"
domingo,Fim,Buscar,Borda não,Refri não,R$ 34-38,"22-33 min"
domingo,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"22-33 min"
domingo,Inicio,Buscar,Borda não,Refri não,R$ 22-26,"44-55 min"
domingo,Inicio,Entrega,Borda não,Refri não,R$ 34-38,"22-33 min"
domingo,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"33-44 min"
domingo,Pico,Buscar,Borda não,Refri sim,R$ 30-34,"44-55 min"
domingo,Pico,Entrega,Borda sim,Refri não,R$ 38-42,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 34-38,"22-33 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
domingo,Pico,Buscar,Borda não,Refri não,R$ 34-38,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
domingo,Pico,Buscar,Borda não,Refri não,R$ 18-22,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 18-22,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
domingo,Pico,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
domingo,Pico,Entrega,Borda não,Refri sim,R$ 38-42,"44-55 min"
domingo,Fim,Entrega,Borda não,Refri sim,R$ 38-42,"22-33 min"
domingo,Fim,Entrega,Borda não,Refri não,R$ 14-18,"33-44 min"
domingo,Fim,Entrega,Borda não,Refri sim,R$ 26-30,"44-55 min"
domingo,Fim,Entrega,Borda não,Refri sim,R$ 38-42,"44-55 min"
domingo,Fim,Entrega,Borda sim,Refri não,R$ 34-38,"44-55 min"
domingo,Fim,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
domingo,Fim,Buscar,Borda não,Refri não,R$ 30-34,"10-22 min"
terça,Inicio,Entrega,Borda não,Refri sim,R$ 34-38,"44-55 min"
terça,Inicio,Buscar,Borda não,Refri não,R$ 18-22,"44-55 min"
terça,Inicio,Entrega,Borda não,Refri sim,R$ 34-38,"33-44 min"
terça,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
terça,Inicio,Buscar,Borda não,Refri não,"46-50","33-44 min"
terça,Inicio,Entrega,Borda não,Refri sim,R$ 38-42,"33-44 min"
terça,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Inicio,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
terça,Inicio,Entrega,Borda não,Refri não,R$ 14-18,"44-55 min"
terça,Inicio,Entrega,Borda sim,Refri não,R$ 34-38,"33-44 min"
terça,Inicio,Entrega,Borda sim,Refri não,R$ 26-30,"33-44 min"
terça,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"10-22 min"
terça,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
terça,Pico,Buscar,Borda não,Refri sim,R$ 26-30,"22-33 min"
terça,Inicio,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
terça,Inicio,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
terça,Fim,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
terça,Inicio,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Fim,Buscar,Borda não,Refri não,R$ 30-34,"22-33 min"
terça,Inicio,Entrega,Borda não,Refri não,R$ 18-22,"44-55 min"
terça,Inicio,Entrega,Borda sim,Refri não,R$ 30-34,"44-55 min"
terça,Inicio,Entrega,Borda não,Refri sim,R$ 34-38,"44-55 min"
terça,Inicio,Entrega,Borda não,Refri sim,R$ 30-34,"22-33 min"
terça,Inicio,Entrega,Borda sim,Refri não,R$ 38-42,"33-44 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 34-38,"10-22 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 26-30,"44-55 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
terça,Pico,Entrega,Borda sim,Refri não,R$ 30-34,"33-44 min"
terça,Pico,Entrega,Borda sim,Refri não,R$ 38-42,"33-44 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
terça,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"44-55 min"
terça,Pico,Entrega,Borda sim,Refri não,R$ 34-38,"44-55 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 30-34,"22-33 min"
terça,Pico,Entrega,Borda sim,Refri não,R$ 38-42,"44-55 min"
terça,Pico,Entrega,Borda não,Refri sim,R$ 30-34,"33-44 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
terça,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
terça,Pico,buscar,Borda não,Refri não,R$ 18-22,"33-44 min"
terça,Fim,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
terça,Fim,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
terça,Fim,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
terça,Fim,Entrega,Borda não,Refri sim,R$ 38-42,"33-44 min"
terça,Fim,Entrega,Borda não,Refri sim,R$ 34-38,"33-44 min"
terça,Fim,Buscar,Borda não,Refri não,R$ 22-26,"44-55 min"
terça,Fim,Buscar,Borda não,Refri sim,R$ 26-30,"44-55 min"
terça,Fim,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
terça,Fim,Buscar,Borda não,Refri sim,R$ 34-38,"22-33 min"
terça,Fim,Entrega,Borda não,Refri não,R$ 18-22,"10-22 min"
quarta,Inicio,Entrega,Borda sim,Refri não,R$ 38-42,"44-55 min"
quarta,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
quarta,Pico,Entrega,Borda sim,Refri não,R$ 26-30,"22-33 min"
quarta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
quarta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
quarta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
quarta,Pico,Entrega,Borda não,Refri não,R$ 38-42,"44-55 min"
quarta,Fim,Buscar,Borda não,Refri não,R$ 34-38,"22-33 min"
quinta,Inicio,Buscar,Borda sim,Refri não,R$ 30-34,"33-44 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 26-30,"44-55 min"
quinta,Pico,Entrega,Borda não,Refri sim,R$ 30-34,"22-33 min"
quinta,Pico,Buscar,Borda sim,Refri sim,R$ 42-46,"33-44 min"
quinta,Pico,Entrega,Borda sim,Refri não,R$ 34-38,"33-44 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 18-22,"33-44 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 26-30,"10-22 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"22-33 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
quinta,Pico,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"22-33 min"
quinta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
quinta,Fim,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
quinta,Fim,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
quinta,Fim,Buscar,Borda não,Refri não,R$ 34-38,"44-55 min"
quinta,Fim,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
quinta,Fim,Buscar,Borda não,Refri sim,R$ 26-30,"33-44 min"
quinta,Fim,Buscar,Borda sim,Refri não,R$ 30-34,"22-33 min"
sexta,Inicio,Entrega,Borda não,Refri não,R$ 18-22,"44-55 min"
sexta,Inicio,Entrega,Borda não,Refri sim,R$ 38-42,"44-55 min"
sexta,Inicio,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sexta,Inicio,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
sexta,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 38-42,"33-44 min"
sexta,Pico,Buscar,Borda não,Refri sim,R$ 38-42,"44-55 min"
sexta,Pico,Entrega,Borda não,Refri sim,R$ 38-42,"33-44 min"
sexta,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"44-55 min"
sexta,Pico,Entrega,Borda não,Refri sim,R$ 38-42,"10-22 min"
sexta,Fim,Buscar,Borda não,Refri não,R$ 22-26,"44-55 min"
sexta,Fim,Entrega,Borda sim,Refri não,R$ 22-26,"22-33 min"
sexta,Fim,Buscar,Borda não,Refri não,R$ 22-26,"10-22 min"
sexta,Fim,Entrega,Borda não,Refri sim,R$ 30-34,"44-55 min"
sexta,Fim,Entrega,Borda sim,Refri não,R$ 30-34,"22-33 min"
sexta,Fim,Buscar,Borda não,Refri sim,R$ 26-30,"22-33 min"
sexta,Fim,Entrega,Borda não,Refri sim,R$ 30-34,"22-33 min"
sábado,Inicio,Entrega,Borda não,Refri sim,R$ 30-34,"44-55 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
